text_id,text_type,sent_count,word_count,avg_sent_length,noun_ratio,verb_ratio,adj_ratio,max_consecutive_nouns,consecutive_nouns_groups,three_plus_consecutive_nouns,max_syntactic_depth,flesch_kincaid_grade,participles_count,gerunds_count,passive_constructions,modal_constructions,pointer_words,bureaucratic_phrases,complex_sentences,complex_sentences_ratio,avg_clause_length
0,original,14,263,18.785714285714285,41.06463878326996,14.44866920152091,9.125475285171103,5,85,3,7,15.521488321564366,3,3,13,12,3,5,1,0.07142857142857142,8.25
0,paraphrased,18,249,13.833333333333334,38.95582329317269,17.269076305220885,7.228915662650602,2,82,0,8,12.57967871485944,1,3,7,6,1,5,1,0.05555555555555555,6.648648648648648
1,original,10,109,10.9,40.36697247706422,17.431192660550458,8.256880733944955,3,32,2,6,10.744403669724772,3,0,5,2,3,0,1,0.1,7.333333333333333
1,paraphrased,9,104,11.555555555555555,40.38461538461539,16.346153846153847,6.730769230769231,4,28,5,7,9.814700854700856,3,1,3,1,2,1,1,0.1111111111111111,8.666666666666666
2,original,11,202,18.363636363636363,37.62376237623762,6.435643564356436,16.831683168316832,3,69,1,7,15.007659765976602,3,0,5,2,2,0,1,0.09090909090909091,8.695652173913043
2,paraphrased,9,182,20.22222222222222,34.065934065934066,9.340659340659341,13.736263736263737,2,61,0,9,14.45957264957265,1,2,5,2,2,0,1,0.1111111111111111,9.263157894736842
3,original,12,103,8.583333333333334,29.126213592233007,16.50485436893204,15.53398058252427,3,26,1,5,12.515258899676379,3,1,1,7,1,1,1,0.08333333333333333,5.722222222222222
3,paraphrased,14,104,7.428571428571429,28.846153846153843,21.153846153846153,8.653846153846153,2,28,0,5,9.770439560439563,6,0,1,2,0,0,1,0.07142857142857142,5.05
4,original,9,194,21.555555555555557,31.443298969072163,11.34020618556701,2.5773195876288657,5,48,1,7,8.047571592210769,4,1,4,3,1,0,1,0.1111111111111111,9.65
4,paraphrased,9,116,12.88888888888889,37.93103448275862,18.103448275862068,9.482758620689655,2,41,0,8,13.085478927203066,5,0,5,7,1,0,1,0.1111111111111111,6.9411764705882355
5,original,13,188,14.461538461538462,38.297872340425535,14.361702127659576,12.23404255319149,3,56,3,6,15.23225859247136,5,0,6,6,0,4,1,0.07692307692307693,9.4
5,paraphrased,1,120,120.0,30.833333333333336,11.666666666666666,13.333333333333334,3,30,2,18,62.25999999999999,1,0,0,1,0,2,1,1.0,35.666666666666664
6,original,10,114,11.4,49.122807017543856,14.035087719298245,3.508771929824561,3,38,3,9,11.920526315789473,5,1,2,6,5,0,1,0.1,8.76923076923077
6,paraphrased,10,95,9.5,44.21052631578947,21.052631578947366,4.2105263157894735,2,27,0,6,12.591578947368422,4,0,5,4,5,0,1,0.1,7.230769230769231
7,original,9,99,11.0,36.36363636363637,12.121212121212121,13.131313131313133,3,27,1,7,12.903939393939396,3,0,1,4,1,0,1,0.1111111111111111,9.0
7,paraphrased,11,103,9.363636363636363,26.21359223300971,17.475728155339805,11.650485436893204,2,23,0,5,9.724827890556046,7,1,1,1,0,1,1,0.09090909090909091,6.466666666666667
8,original,11,96,8.727272727272727,50.0,15.625,8.333333333333332,4,30,6,6,14.148636363636367,3,1,1,4,0,2,1,0.09090909090909091,6.857142857142857
8,paraphrased,9,105,11.666666666666666,40.95238095238095,14.285714285714285,9.523809523809524,3,31,2,5,12.883333333333336,1,1,1,1,2,1,1,0.1111111111111111,8.333333333333334
