original_text,reference,mistral_instruct,llama_finetuned,qwen_finetuned,deepseek-v3
"Подпись Описание Запуск Кнопка Запуск отображается, когда сервер остановлен. При нажатии кнопки Останов происходит запуск сервера. Кнопка Останов отображается, когда сервер работает. При нажатии кнопки происходит остановка сервера. Регистрация Открывает окно Регистрация пользователя 91 для авторизации пользователя в системе. Блокировка При нажатии на кнопку происходит блокирование всех функций управления сервером, при этом работа самого сервера не прерывается. Для разблокирования функций необходимо выполнить повторную регистрацию в системе. Для этого требуется нажать кнопку Регистрация, и в открывшемся окне Регистрация пользователя 91 ввести им я пользователя и пароль. Информация На практике Чтобы сторонний поль зователь не см ог изменить настройки работающего сервера ПО ПаркНет , администратору следует включать блокировку. При этом сервер продолж ит работу, однак о его настройки будут недоступны для изменения. Открывает окно Информация о пользователе 82 для просмотра данных о зарегистрировавшем ся пользователе. Устройства Открывает окно Список устройств 14 для просмотра информации о находящихся на связи с сервером мобильных устройствах (планшетах). Госномера Открывает окно Список ном еров м ашин 17 для просм отра информации о зафиксированных номерных знаках автотранспорта и соответствующих нарушениях. Изображения Открывает окно Изображ ения м ашины 20 для просмотра фотографий транспортного средства, номерной знак которого выбран в ок не Список номеров машин 17 . Распознавание Открывает окно Результат распознавания 22 для просмотра информации о распознавании ном ерного знака транспортного средства, выбранного в окне Список номеров м ашин 17 . Журнал Открывает окно Журнал 25 для просмотра ж урнала системы.","Кнопка Запуск отображается, когда сервер остановлен. Нажмите ее, чтобы запустить сервер.

Кнопка Останов отображается, когда сервер работает. Нажмите ее, чтобы остановить сервер.

Кнопка Регистрация открывает окно ""Регистрация пользователя"" для вашей авторизации в системе.

Кнопка Блокировка блокирует все функции управления сервером, но не прерывает его работу. Чтобы разблокировать функции, вам нужно заново зарегистрироваться в системе. Нажмите кнопку Регистрация и введите имя пользователя и пароль в открывшемся окне.

Совет: Включайте блокировку, чтобы посторонние не изменили настройки работающего сервера ПО ПаркНет. Сервер продолжит работу, но его настройки будут недоступны для изменения.

Кнопка Информация открывает окно ""Информация о пользователе"" для просмотра данных о зарегистрированном пользователе.

Кнопка Устройства открывает окно ""Список устройств"" для просмотра информации о мобильных устройствах (планшетах), которые связаны с сервером.

Кнопка Госномера открывает окно ""Список номеров машин"" для просмотра информации о зафиксированных номерных знаках автотранспорта и соответствующих нарушениях.

Кнопка Изображения открывает окно ""Изображения машины"" для просмотра фотографий транспортного средства, номерной знак которого вы выбрали в окне ""Список номеров машин"".

Кнопка Распознавание открывает окно ""Результат распознавания"" для просмотра информации о распознавании номерного знака транспортного средства, которое вы выбрали в окне ""Список номеров машин"".

Кнопка Журнал открывает окно ""Журнал"" для просмотра журнала системы.","Чтобы запустить сервер, необходимо нажать на кнопку ""Запуск"". Она появляется, когда сервер остановлен. При нажатии на эту же кнопку, сервер начнет работать и в это время другая кнопка отобразится - ""Останов"". Если потребуется остановить работу сервера, то необходимо нажать на эту кнопку.

Для регистрации пользователя в системе нужно открыть окно ""Регистрация"". В этом окне необходимо указать имя пользователя и пароль. После этого сервер авторизует пользователя, и он сможет контролировать сервер.

Кликнув на кнопку ""Блокировка"", запрещается все управление сервером. Сервер продолжит работать, но его настройки станут недоступны для изменения. Чтобы разблокировать функции, необходимо повторно открыть окно ""Регистрация"" и ввести сведения о себе.

Окно ""Информация о пользователе 82"" предназначено для просмотра данных о зарегистрированном ранее пользователе.

Чтобы просмотреть список устройств, связанных с сервером, необходимо открыть окно ""Список устройств 14"". В этом окне отображаются данные о мобильных устройствах (планшетах), которые используют сервер.

Для просмотра списка номеров автотранспорта и соответствующих нарушений, необходимо открыть окно ""Список номерных знаков автотранспорта 17"". Если требуется просмотреть фотографию транспортного средства с определенным номером, то достаточно выбрать ее в этом же окне.

Окно ""Результат распознавания 22"" предназначено для просмотра информации об обработанном номере автотранспорта.

Чтобы посмотреть журнал работы системы, необходимо открыть окно ""Журнал"". В этом окне отображаются все записи о действиях пользователей и других событиях в системе.","**Подпись**  
**Описание**  
- **Запуск** — кнопка открывает сеть, когда сервер остановлен.  
- **Останов** — кнопка запуска сервера.  
- **Запуск** — кнопка открывает сеть, когда она работает.  

**Регистрация**  
- **Открывает окно** — для авторизации пользователя в системе.  
- **Блокировка** — кнопка блокирует все функции управления сервером, но сервер не прерывает работу.  
  - Чтобы разблокировать, повторно регистрируйтесь в системе.  
- **Регистрация пользователя 91** — для авторизации пользователя в системе.  

**Информация**  
На практике для **ПаркНет** администратор должен включить **блокировку** сервера, чтобы он работал, но настройки не могли быть изменены.  

- **Информация о пользователе** — для просмотра данных о зарегистрировавшемся пользователе.  
- **Список устройств** — для просмотра информации о мобильных устройствах (планшетах).  
- **Список номеров машин** — для просмотра информации о зафиксированных номерных знаках автотранспорта и нарушениях.  
- **Изображения** — для просмотра фотографий транспортного средства с номерным знаком, выбранным в списке номеров машин.  
- **Результат распознавания** — для просмотра информации о распознавании номерных знаков транспортного средства, выбранного в списке номеров машин.  
- **Журнал** — для просмотра журнала системы.  

**Распознавание**  
- **Результат распознавания** — для просмотра информации о распознавании номерных знаков транспортного средства, выбранного в списке номеров машин.  

Теперь вы можете использовать эти функции, не зная, как их управлять. Убедитесь, что блокировка включена, чтобы сервер работал, но настройки не могли быть изменены.","### Интерфейс управления  

#### **Запуск**  
- **Кнопка** активирует запуск сервера.  
- **Кнопка** подтверждает завершение работы сервера.  

#### **Регистрация**  
Открывает окно **«Регистрация пользователя»** для входа в систему.  

#### **Бlokировка**  
При нажатии кнопки сервер временно заблокируется. В это время система продолжит работать, но доступ к настройкам будет受限.  

**Как снять блокировку:**  
1. Нажмите кнопку **«Регистрация»** в окне **«Регистрация пользователя»**.  
2. Введите имя пользователя и пароль в появившемся окне.  
3. Подтвердите авторизацию.  

#### **Информация**  
Для просмотра данных о пользователе откройте окно **«Информация о пользователе»**.  

#### **Устройства**  
Чтобы проверить связь с сервером планшеты:  
1. Нажмите кнопку **«Список устройств»**.  
2. Выберите нужные модели.  

#### **Номера Машин**  
Для просмотра зарегистрированных номеров:  
1. Нажмите кнопку **«Список номеров машин»**.  
2. Выберите модель или номер автомобиля.  

#### **Изображения**  
Для просмотра фото автомобиля:  
1. Нажмите кнопку **«Изображения машины»**.  
2. Выберите автомобиль из списка.  

#### **Журнал**  
Для просмотра журнала событий:  
1. Нажмите кнопку **«Журнал»**.  

Это основные функции интерфейса.","**Кнопка ""Запуск""**  
Появляется, когда сервер выключен. Нажмите её, чтобы включить сервер.  

**Кнопка ""Останов""**  
Появляется, когда сервер работает. Нажмите её, чтобы выключить сервер.  

**Кнопка ""Регистрация""**  
Открывает окно для входа в систему. Введите логин и пароль.  

**Кнопка ""Блокировка""**  
Отключает управление сервером, но сервер продолжает работать. Чтобы снять блокировку, снова войдите в систему через кнопку ""Регистрация"".  

**Совет**  
Если нужно запретить другим пользователям менять настройки сервера, используйте блокировку. Сервер останется включённым, но настройки нельзя будет изменить.  

**Кнопка ""Информация""**  
Показывает данные о текущем пользователе.  

**Кнопка ""Устройства""**  
Открывает список планшетов, подключённых к серверу.  

**Кнопка ""Госномера""**  
Показывает список автомобильных номеров и связанных с ними нарушений.  

**Кнопка ""Изображения""**  
Открывает фото машины, если её номер выбран в списке госномеров.  

**Кнопка ""Распознавание""**  
Показывает детали распознавания номера, выбранного в списке госномеров.  

**Кнопка ""Журнал""**  
Открывает журнал событий системы."
"Область вывода записей журнала Область вывода содержит табличный список системных событий, удовлетворяющим условиям фильтра. Если фильтр не задан, то отображаются все системные события. Опис ание полей: Тип Отображ ается тип системного события в виде значка: Уведомлени Информация о работе программы и действиях пользователей. я Предупрежд Информация об обнаруженных и устраненных ошибках, не приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных неустранимых ошибках, приведших к остановк е программы. Дата Отображ ается дата возникновения системного события. Время Отображ ается время возникновения систем ного события. Пользователь Отображ ается им я пользователя, в процессе работы которого возникло данное систем ное событие. Категория Отображ ается название категории, к которой относится данное системное событие. Сообщение Отображ ается сообщение системного события. Данные Отображается дополнительная информация по данному системному событию. (c) 2015 ООО Технологии Распознав ания","Область вывода записей журнала

Область вывода содержит табличный список системных событий, которые соответствуют условиям фильтра. Если вы не задали фильтр, отображаются все системные события.

Описание полей:

Тип
Отображает тип системного события в виде значка:
- Уведомления: Информация о работе программы и действиях пользователей.
- Предупреждения: Информация об обнаруженных и устраненных ошибках, которые не привели к общему сбою в работе программы.
- Ошибки: Информация об обнаруженных неустранимых ошибках, которые привели к остановке программы.

Дата
Отображает дату возникновения системного события.

Время
Отображает время возникновения системного события.

Пользователь
Отображает имя пользователя, во время работы которого возникло это системное событие.

Категория
Отображает название категории, к которой относится это системное событие.

Сообщение
Отображает сообщение системного события.

Данные
Отображает дополнительную информацию по этому системному событию.

© 2015 ООО Технологии Распознавания","Область вывода содержит таблицу системных событий, удовлетворяющих фильтрам. Если фильтр не задан, все системные события будут отображаться.

Здесь приведены пояснения для каждого столбца:
- Тип - представлен тип системного события в виде значка
- Уведомление/Информация - информация о работе программы и действиях пользователей
- Предупреждение - информация об обнаруженных и устраняемых ошибках, не приводящих к общему сбою в работе программы
- Ошибки - информация об обнаруженных неустранимающих ошибках, которые привели к остановочке программы
- Дата - дата появления системного события
- Время - время появления системного события
- Пользователь - имя пользователя, в процессе работы которого произошло данное системное событие
- Категория - название категории, к которой принадлежит данное системное событие
- Сообщение - сообщение системного события
- Данные - дополнительная информация по данному системному событию

(c) 2015 ООО Технологии Распознав ания","Область вывода содержит таблицу с системными событиями, соответствующими условиям фильтра. Если фильтр не задан, выводится все системные события. Описание полей:

*   **Тип** - тип системного события, например: ""Уведомлени"", ""Предотвращ"", ""Ошибки"" и другие.
*   **Отображается** - тип системного события.
*   **Дата** - дата возникновения события.
*   **Время** - время возникновения события.
*   **Пользователь** - информация о пользователе, который вызвал событие.
*   **Категория** - название категории, к которой относится событие.
*   **Сообщение** - сообщение, которое было отправлено пользователю.
*   **Данные** - дополнительная информация о событии.

*(c) 2015 ООО Технологии Распознавания*","**Область вывода записей журнала**

Область вывода содержит таблицу системных событий, которые соответствуют заданным параметрам фильтрации. При отсутствии фильтров отображаются все системы события.

**Описание полей:**

*   **Тип:** Отображается тип системы события через значок:
    *   Уведомление - информирует о работе программы и действий пользователя.
    *   Имя - информация о работе программы и действий пользователя.
    *   Предупреждение - показывает информацию об обнаружении и решении проблем, не вызвавших сбоя программы.
    *   Ошибки - показывает информацию об обнаружении и решении неустранимых ошибок, вызвивших завершение работы программы.
    *   Дата - отображает дату возникновения системы события.
    *   Время - показывает время возникновения системы события.
    *   Пользователь - имя пользователя, в процессе работы которого произошло событие.
    *   Категория - название категории, к которой относится событие.
    *   Сообщение - содержание информации о системном событии.
    *   Данные - предоставляет дополнительную информацию по событию.","В этом разделе показываются записи о событиях в системе. Они отображаются в виде таблицы.  

Если не заданы фильтры, видны все события.  

**Поля таблицы:**  
- **Тип** – значок, который показывает вид события:  
  - *Уведомление* – информация о работе программы или действиях пользователей.  
  - *Предупреждение* – ошибки, которые были исправлены и не нарушили работу программы.  
  - *Ошибка* – критические сбои, из-за которых программа остановилась.  
- **Дата** – когда произошло событие.  
- **Время** – во сколько произошло событие.  
- **Пользователь** – кто работал в программе, когда случилось событие.  
- **Категория** – к какой группе относится событие.  
- **Сообщение** – краткое описание события.  
- **Данные** – дополнительная информация о событии.  

© 2015 ООО «Технологии Распознавания»"
"Тип Флажок Описание Задается признак разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, на два отдельных пакета. Каждый пакет будет содержать общее фото ном ерного знака автотранспорта и свою обзорную фотографию. Подобная возмож ность актуальная для формирования доказательной базы при некоторых видах нарушений. Пример При фиксации нарушения типа ""Остановк а запрещена"" необходим о сделать одно фото ном ерного знака и две обзорные фотографии. При активации данного флаж ка пакет данных о нарушении будет разделен на два пакета с соответствующими обзорными фотографиями. По зафиксированному времени на фотографиях можно будет док азать, что фотографии были сделаны при неподвиж ном состоянии автотранспорта. Возможные значения Включен. Производится разделения пакета данных о нарушении, не нуждающемся в повторной фиксации. Выключен. Разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, не производится.","Флажок ""Разделение пакета данных""

Этот флажок позволяет разделить пакет данных о нарушении, которое не нуждается в повторной фиксации, на два отдельных пакета. Каждый пакет будет содержать общее фото номерного знака автотранспорта и свою обзорную фотографию. Эта функция помогает формировать доказательную базу для некоторых видов нарушений.

Пример:
При фиксации нарушения ""Остановка запрещена"" вам нужно сделать одно фото номерного знака и две обзорные фотографии. Если вы включите этот флажок, пакет данных о нарушении разделится на два пакета с соответствующими обзорными фотографиями. По времени на фотографиях вы сможете доказать, что снимки были сделаны, когда автотранспорт не двигался.

Возможные значения:
- Включен: Система разделяет пакет данных о нарушении, которое не нуждается в повторной фиксации.
- Выключен: Система не разделяет пакет данных о нарушении, которое не нуждается в повторной фиксации.","Чтобы разделить пакет данных об нарушении, который не требуется повторно фиксировать, на два отдельных пакета, установите флажок ""Разделение пакета"". Каждый пакет содержит обязательную фотографию номера автомобиля и свою обзорную фотографию. Эта возможность актуальна для формирования доказательной базы при некоторых видах нарушений.

Например, при фиксации нарушения типа ""Остановка запрещена"", необходимо сделать одно фото номера автомобиля и две обзорные фотографии. Если флажок ""Разделение пакета"" включен, то данные о нарушении будут разделены на два отдельных пакета с соответствующими обзорными фотографиями. На время фиксации можно увидеть, что фотографии были сделаны при неподвижном состоянии автомобиля.

Возможные значения:
- Включено (активно разделяются пакеты)
- Выключено (не производится разделение пакетов)","Тип: Флажок
Описание: Разделяет пакет данных о нарушении на два отдельных пакета. Каждый пакет содержит общее фото ном и его обзорную фотографию. Это может быть полезно для формирования доказательной базы при некоторых видах нарушений.

Пример: При фиксации нарушения типа ""Остановка запрещена"" необходимо сделать одно фото ном и две обзорные фотографии. При активации этого флажока пакет данных о нарушении будет разделен на два пакета с соответствующими обзорными фотографиями. Пофиксированные фотографии можно будет доказать, что они сделаны при неподвижном состоянии автотранспорта.

Возможные значения: Включен. Производится разделения пакета данных о нарушении, не нуждающемся в повторной фиксации. Выключен. Разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, не производится.","### Тип: **Флажок**  
### Описание:  
Задает параметр, который разделяет пакет данных о нарушении на два отдельных пакета. Первый пакет содержит общую информацию о номерном знаке автомобиля, а второй — его обзорную фотографию. Это особенно полезно при формировании доказательной базы по некоторым видам нарушений.  

#### Пример:  
При фиксирунии нарушения типа *""Остановка запрещена""* необходимо сделать одно фото номерного знака и две обзорные фотографии. Активируя этот флажок, пакет данных о нарушении будет разделен на два отдельных пакета с соответствующими обзорными фотографиями. С помощью этих фотографий можно определить, что они были сделаны при неподвижном состоянии автомобиля.  

### Возможные значения:  
- **Включен** – выполняется разделение пакета данных о нарушении, не требующего повторной фиксации.  
- **Выключен** – разделение пакета данных о нарушении, не требующего повторной фиксации, не происходит.","Флажок определяет, как записывать данные о нарушении.  

Если флажок включен:  
- Нарушение записывается как два отдельных пакета данных.  
- В каждом пакете будет фото номерного знака и своя обзорная фотография.  
- Это помогает подтвердить нарушение, например, при остановке в неположенном месте.  

Пример:  
При нарушении ""Остановка запрещена"" система делает:  
- Одно фото номерного знака.  
- Две обзорные фотографии.  
Если флажок включен, эти данные сохранятся как два пакета. По времени на фото видно, что машина не двигалась.  

Значения флажка:  
- **Включен** — пакет данных разделяется.  
- **Выключен** — пакет не разделяется."
"Тип Выпадающий список Описание Задается значение уровня качества поиска и захвата изображ ения номерного знак а в к адре. Данный параметр позволяет выбрать соотношение качество/производитель ность работы системы. Чем ниже качество, тем быстрее происходит обработка, но вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т. п.) повышается, и наоборот. Возможные значения Быстрый рекомендуется выбирать на слабых компьютерах, при обработке данных от нескольких десятков планшетов, в большом диапазоне типоразмеров зон или если номерные знак и в основном чистые, незагрязненные. В этом случае будут обработаны практически все номерные пластины с хорошим качеством изображ ения, пластины с худшим к ачеством изображ ения будут просто отфильтрованы. Стандартный рекомендуется выбирать в боль шинстве случаев. При этом в кадре будет обнаружено и передано для распознавания большинство номерных пластин. Тольк о наиболее загрязненные ном ерные пластины будут отфильтрованы. Качественный рекомендуется выбирать при работе на мощных компьютерах, при небольшом количестве фиксирующих устройств на связи с сервером, в небольшом диапазоне типоразмеров зон, или если требуется распознать номера всех зафиксированных машин. В этом случае алгоритм будет производить поиск даже самых загрязненных номеров. Из-за большой вычислительной нагрузки могут быть пропущены ном ера с хорошим качеством изображ ения.","Выпадающий список ""Уровень качества поиска""

В этом списке вы можете выбрать уровень качества поиска и захвата изображения номерного знака в кадре. Параметр влияет на соотношение качества и скорости работы системы. Чем ниже качество, тем быстрее происходит обработка, но увеличивается вероятность пропуска или неправильного распознавания искаженных номеров (грязных, малоконтрастных и т.п.). И наоборот.

Возможные значения:

Быстрый
Выбирайте этот режим:
- на слабых компьютерах
- при обработке данных от нескольких десятков планшетов
- при большом диапазоне типоразмеров зон
- если номерные знаки в основном чистые, незагрязненные

В этом режиме система обработает почти все номерные пластины с хорошим качеством изображения. Пластины с худшим качеством изображения будут отфильтрованы.

Стандартный
Выбирайте этот режим в большинстве случаев. Система обнаружит и передаст для распознавания большинство номерных пластин. Только самые загрязненные номерные пластины будут отфильтрованы.

Качественный
Выбирайте этот режим:
- на мощных компьютерах
- при небольшом количестве фиксирующих устройств на связи с сервером
- при небольшом диапазоне типоразмеров зон
- если вам нужно распознать номера всех зафиксированных машин

В этом режиме алгоритм будет искать даже самые загрязненные номера. Из-за большой вычислительной нагрузки система может пропустить номера с хорошим качеством изображения.","Чтобы установить тип выпадающего списка, необходимо задать значение качества поиска и изображения номера пластинки. Этот параметр позволяет выбрать соотношение качество/производительность системы.

Чем больше качество, тем медленнее обработка, но меньше вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т. п.). Наоборот, чем ниже качество, тем быстрее происходит обработка.

Используйте ""быстрый"" рекомендуется для слабых компьютеров, при обработке данных от нескольких десятков планшетов, в большом диапазоне типоразмеров зон или если номера пластинки и в основном чистые, незагрязненные. В этом случае будут обработаны практически все пластинки с хорошим качеством изображения, а пластинки с худшим качеством будут просто отфильтрованы.

Используйте ""стандартный"" рекомендуется в большинстве случаев. В этом случае будет обнаружено и передано для распознавания большинство пластинок с номерами. Только наиболее загрязненные номерные пластинки будут отфильтрованы.

Используйте ""качественный"" при работе на мощных компьютерах, при небольшом количестве фиксирующих устройств на связи с сервером, в небольшом диапазоне типоразмеров зон, или если требуется распознать номера всех зафиксированных машин. В этом случае алгоритм будет производить поиск даже самых загрязненных номеров. Из-за большой вычислительной нагрузки могут быть пропущены номера с хорошим качеством изображения.","Тип: Выпадающий список
Описание: Задает значение уровня качества и захвата изображения номерного знака. Параметр позволяет выбрать соотношение качества/производительности работы системы. Чем ниже качество, тем быстрее происходит обработка, но вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т.п.) повышается, и наоборот. 

Быстрый: Рекомендуется выбирать на слабых компьютерах, когда обработка данных от нескольких десятков планшетов, в большом диапазоне типоразмеров зон или если номерные знаки и в основном чистые, незагрязненные. В этом случае обработаны практически все номерные пластины с хорошим качеством изображения, пластины с худшим качеством изображения будут отфильтрованы. Стандартный: Рекомендуется выбирать в больших случаях. В кадре будет обнаружено и передано для распознавания большинство номерных пластин. Только о наиболее загрязненные номерные пластины будут отфильтрованы. Качественный: Рекомендуется выбирать при работе на мощных компьютерах, когда небольшое количество фиксирующих устройств на связи с сервером, в небольшом диапазоне типоразмеров зон или если требуется распознать номера всех зафиксированных машин. В этом случае алгоритм будет производить поиск даже самых загрязненных номеров. Из-за большая вычислительная нагрузка могут быть пропущены номера с хорошим качеством изображения.","### Настройка параметра ""Качество""  

Параметр **""Выпадающий список""** позволяет задать уровень качества поиска и захвата номерных знаков в кадре. Он определяет соотношение между качеством изображения и производительностью работы системы.  

#### Как работает качество  
- **Быстрый** подходит для слабых компьютеров, обработки данных из нескольких планшетов, работы с крупными зонами или чистыми номерными знаками.  
  - Здесь система обрабатывает почти все номерные пластины с хорошим качеством изображения. Номера с плохим качеством автоматически фильтруются.  
- **Стандартный** чаще всего используется.  
  - Система обнаруживает и распознает большинство номерных пластин. Но фильтруются только самые загрязненные.  
- **Качественный** предназначен для мощных ПК, без сервера, в небольших зонах или для распознавания всех зарегистрированных номеров.  
  - Система может обрабатывать даже сложные загрязнения.  

Чем выше качество, тем медленнее обработка, но меньше вероятность ошибок.","**Выпадающий список ""Уровень качества""**  

Здесь можно выбрать, как система будет искать и считывать номера машин. Чем выше качество, тем точнее распознавание, но медленнее работа. Чем ниже — тем быстрее, но возможны ошибки, особенно с грязными или плохо видимыми номерами.  

**Варианты:**  

- **Быстрый** — подходит для слабых компьютеров или когда номеров много, а большинство из них чистые. Система пропустит плохо видимые номера, но быстро обработает четкие.  
- **Стандартный** — работает в большинстве случаев. Находит почти все номера, кроме самых грязных или поврежденных.  
- **Качественный** — для мощных компьютеров или когда важно считать все номера, даже плохо видимые. Может замедлить работу и иногда пропускать даже хорошие номера из-за высокой нагрузки."
