original_text,reference,base_model_rugpt,llama_base,llama_finetuned,qwen_finetuned,qwen_base,finetuned_model_rugpt
"Подпись Описание Запуск Кнопка Запуск отображается, когда сервер остановлен. При нажатии кнопки Останов происходит запуск сервера. Кнопка Останов отображается, когда сервер работает. При нажатии кнопки происходит остановка сервера. Регистрация Открывает окно Регистрация пользователя 91 для авторизации пользователя в системе. Блокировка При нажатии на кнопку происходит блокирование всех функций управления сервером, при этом работа самого сервера не прерывается. Для разблокирования функций необходимо выполнить повторную регистрацию в системе. Для этого требуется нажать кнопку Регистрация, и в открывшемся окне Регистрация пользователя 91 ввести им я пользователя и пароль. Информация На практике Чтобы сторонний поль зователь не см ог изменить настройки работающего сервера ПО ПаркНет , администратору следует включать блокировку. При этом сервер продолж ит работу, однак о его настройки будут недоступны для изменения. Открывает окно Информация о пользователе 82 для просмотра данных о зарегистрировавшем ся пользователе. Устройства Открывает окно Список устройств 14 для просмотра информации о находящихся на связи с сервером мобильных устройствах (планшетах). Госномера Открывает окно Список ном еров м ашин 17 для просм отра информации о зафиксированных номерных знаках автотранспорта и соответствующих нарушениях. Изображения Открывает окно Изображ ения м ашины 20 для просмотра фотографий транспортного средства, номерной знак которого выбран в ок не Список номеров машин 17 . Распознавание Открывает окно Результат распознавания 22 для просмотра информации о распознавании ном ерного знака транспортного средства, выбранного в окне Список номеров м ашин 17 . Журнал Открывает окно Журнал 25 для просмотра ж урнала системы.","Кнопка Запуск отображается, когда сервер остановлен. Нажмите ее, чтобы запустить сервер.

Кнопка Останов отображается, когда сервер работает. Нажмите ее, чтобы остановить сервер.

Кнопка Регистрация открывает окно ""Регистрация пользователя"" для вашей авторизации в системе.

Кнопка Блокировка блокирует все функции управления сервером, но не прерывает его работу. Чтобы разблокировать функции, вам нужно заново зарегистрироваться в системе. Нажмите кнопку Регистрация и введите имя пользователя и пароль в открывшемся окне.

Совет: Включайте блокировку, чтобы посторонние не изменили настройки работающего сервера ПО ПаркНет. Сервер продолжит работу, но его настройки будут недоступны для изменения.

Кнопка Информация открывает окно ""Информация о пользователе"" для просмотра данных о зарегистрированном пользователе.

Кнопка Устройства открывает окно ""Список устройств"" для просмотра информации о мобильных устройствах (планшетах), которые связаны с сервером.

Кнопка Госномера открывает окно ""Список номеров машин"" для просмотра информации о зафиксированных номерных знаках автотранспорта и соответствующих нарушениях.

Кнопка Изображения открывает окно ""Изображения машины"" для просмотра фотографий транспортного средства, номерной знак которого вы выбрали в окне ""Список номеров машин"".

Кнопка Распознавание открывает окно ""Результат распознавания"" для просмотра информации о распознавании номерного знака транспортного средства, которое вы выбрали в окне ""Список номеров машин"".

Кнопка Журнал открывает окно ""Журнал"" для просмотра журнала системы.","""Создание сайта. Если вы хотите создать сайт с нуля, то вам надо для начала начать с создания сайта. Для этого вам понадобится:

Загрузить на компьютер (на ютуб) и установить на движок WordPress.

Настроить хостинг, чтобы домен был не только бесплатным, но и работал без всяких проблем.

Оба этих пункта я уже говорил выше.

Оценка работы сервера

Для того, чтобы оценить работу всех этих пунктов, необходимо зайти на сайт, где вы можете посмотреть, насколько хорошо работает ваш сервер.

Уровень безопасности

Настройки безопасности

Запуск сервера

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с сайта

Скачать файл с","Операция запуска сервера, отображаемая при остановке сервера, запускается, когда сервер остановлен. При нажатии на кнопку ""Останов"" сервер запускается. Кнопка ""Останов"" отображается, когда сервер работает. При нажатии на кнопку ""Останов"" сервер запускается. Регистрация пользователя 91 для авторизации пользователя в системе. Блокировка при нажатии на кнопку ""Останов"" блокирует все функции управления сервером, при этом работа самого сервера не прерывается. Для разблокирования функций необходимо выполнить повторную регистрацию в системе. Для этого требуется нажать кнопку ""Регистрация"", и в открывшемся окне ""Регистрация пользователя 91"" ввести им я пользователя и пароль. Информация о пользователе 82 для просмотра данных о зарегистрировавшемся пользователе. Устройства отображают информацию о мобильных устройствах, которые находятся на связи с сервером. Госномера отображают информацию о зафикс","**Подпись**  
**Описание**  
- **Запуск** — кнопка открывает сеть, когда сервер остановлен.  
- **Останов** — кнопка запуска сервера.  
- **Запуск** — кнопка открывает сеть, когда она работает.  

**Регистрация**  
- **Открывает окно** — для авторизации пользователя в системе.  
- **Блокировка** — кнопка блокирует все функции управления сервером, но сервер не прерывает работу.  
  - Чтобы разблокировать, повторно регистрируйтесь в системе.  
- **Регистрация пользователя 91** — для авторизации пользователя в системе.  

**Информация**  
На практике для **ПаркНет** администратор должен включить **блокировку** сервера, чтобы он работал, но настройки не могли быть изменены.  

- **Информация о пользователе** — для просмотра данных о зарегистрировавшемся пользователе.  
- **Список устройств** — для просмотра информации о мобильных устройствах (планшетах).  
- **Список номеров машин** — для просмотра информации о зафиксированных номерных знаках автотранспорта и нарушениях.  
- **Изображения** — для просмотра фотографий транспортного средства с номерным знаком, выбранным в списке номеров машин.  
- **Результат распознавания** — для просмотра информации о распознавании номерных знаков транспортного средства, выбранного в списке номеров машин.  
- **Журнал** — для просмотра журнала системы.  

**Распознавание**  
- **Результат распознавания** — для просмотра информации о распознавании номерных знаков транспортного средства, выбранного в списке номеров машин.  

Теперь вы можете использовать эти функции, не зная, как их управлять. Убедитесь, что блокировка включена, чтобы сервер работал, но настройки не могли быть изменены.","### Интерфейс управления  

#### **Запуск**  
- **Кнопка** активирует запуск сервера.  
- **Кнопка** подтверждает завершение работы сервера.  

#### **Регистрация**  
Открывает окно **«Регистрация пользователя»** для входа в систему.  

#### **Бlokировка**  
При нажатии кнопки сервер временно заблокируется. В это время система продолжит работать, но доступ к настройкам будет受限.  

**Как снять блокировку:**  
1. Нажмите кнопку **«Регистрация»** в окне **«Регистрация пользователя»**.  
2. Введите имя пользователя и пароль в появившемся окне.  
3. Подтвердите авторизацию.  

#### **Информация**  
Для просмотра данных о пользователе откройте окно **«Информация о пользователе»**.  

#### **Устройства**  
Чтобы проверить связь с сервером планшеты:  
1. Нажмите кнопку **«Список устройств»**.  
2. Выберите нужные модели.  

#### **Номера Машин**  
Для просмотра зарегистрированных номеров:  
1. Нажмите кнопку **«Список номеров машин»**.  
2. Выберите модель или номер автомобиля.  

#### **Изображения**  
Для просмотра фото автомобиля:  
1. Нажмите кнопку **«Изображения машины»**.  
2. Выберите автомобиль из списка.  

#### **Журнал**  
Для просмотра журнала событий:  
1. Нажмите кнопку **«Журнал»**.  

Это основные функции интерфейса.","К сожалению, вы не предоставили исходный текст. Пожалуйста, приведите его и я бы смогу выразить ваш запрос.","## Как настроить подключение к Интернету через панель настроек  
   - Вводите код активации **Запуск панели** или **Вход""**;   - Во всплывающем списке выбираете пункт **Свойство ""Паркнет"".** Затем нажмите кнопку **«Очистить компьютер»** – откроется окошко с правами администратора доступа. Вход открывается только после того как вы активируете приложение «Паркет». Теперь система будет работать без сбоев и зависаний."
"Область вывода записей журнала Область вывода содержит табличный список системных событий, удовлетворяющим условиям фильтра. Если фильтр не задан, то отображаются все системные события. Опис ание полей: Тип Отображ ается тип системного события в виде значка: Уведомлени Информация о работе программы и действиях пользователей. я Предупрежд Информация об обнаруженных и устраненных ошибках, не приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных неустранимых ошибках, приведших к остановк е программы. Дата Отображ ается дата возникновения системного события. Время Отображ ается время возникновения систем ного события. Пользователь Отображ ается им я пользователя, в процессе работы которого возникло данное систем ное событие. Категория Отображ ается название категории, к которой относится данное системное событие. Сообщение Отображ ается сообщение системного события. Данные Отображается дополнительная информация по данному системному событию. (c) 2015 ООО Технологии Распознав ания","Область вывода записей журнала

Область вывода содержит табличный список системных событий, которые соответствуют условиям фильтра. Если вы не задали фильтр, отображаются все системные события.

Описание полей:

Тип
Отображает тип системного события в виде значка:
- Уведомления: Информация о работе программы и действиях пользователей.
- Предупреждения: Информация об обнаруженных и устраненных ошибках, которые не привели к общему сбою в работе программы.
- Ошибки: Информация об обнаруженных неустранимых ошибках, которые привели к остановке программы.

Дата
Отображает дату возникновения системного события.

Время
Отображает время возникновения системного события.

Пользователь
Отображает имя пользователя, во время работы которого возникло это системное событие.

Категория
Отображает название категории, к которой относится это системное событие.

Сообщение
Отображает сообщение системного события.

Данные
Отображает дополнительную информацию по этому системному событию.

© 2015 ООО Технологии Распознавания","""Область вывода содержит табличный список системных событий, удовлетворяющ ые условиям фильтра. Если фильтр не задан, то отображаются все системные события. Опис ание полей: Тип Отображ ается вид системного события в виде значка: Уведомлени Информация о работе программы и действиях пользователей. я Предупрежд Информация об обнаруженных и устраненных ошибках, не приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных и устраненных ошибках, приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных и устраненных ошибках, приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных и устраненных ошибках, приведших ения к общему сбою в работе программы. Опис ание полей: Тип Отображ ается вид системного события в виде значка: Уведомлени Информация о работе программы и действиях пользователей. Ошибки Информация об обнаруженных и устраненных ошибках, приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных и устраненных ошибках, приведших ения к общему сбою в работе программы. Ошибки Информация об обнаруженных и устраненных ошибках, приведших е","В тексте описывается, что в журнале записываются события, связанные с системами, и эти события отображаются в виде таблицы. Если фильтр не указан, все события отображаются. События описываются по типам: ""Уведомление"" (предупреждение о проблеме), ""Информация об обнаруженных и устраненных ошибках"" (предупреждение о проблеме), ""Ошибки"" (предупреждение о проблеме), ""Дата"" (дата возникновения события), ""Время"" (время возникновения события), ""Пользователь"" (имя пользователя), ""Категория"" (название категории), ""Сообщение"" (сообщение события) и ""Данные"" (дополнительная информация о событии). Фильтр может быть использован для отображения только определенных типов событий.","Область вывода содержит таблицу с системными событиями, соответствующими условиям фильтра. Если фильтр не задан, выводится все системные события. Описание полей:

*   **Тип** - тип системного события, например: ""Уведомлени"", ""Предотвращ"", ""Ошибки"" и другие.
*   **Отображается** - тип системного события.
*   **Дата** - дата возникновения события.
*   **Время** - время возникновения события.
*   **Пользователь** - информация о пользователе, который вызвал событие.
*   **Категория** - название категории, к которой относится событие.
*   **Сообщение** - сообщение, которое было отправлено пользователю.
*   **Данные** - дополнительная информация о событии.

*(c) 2015 ООО Технологии Распознавания*","**Область вывода записей журнала**

Область вывода содержит таблицу системных событий, которые соответствуют заданным параметрам фильтрации. При отсутствии фильтров отображаются все системы события.

**Описание полей:**

*   **Тип:** Отображается тип системы события через значок:
    *   Уведомление - информирует о работе программы и действий пользователя.
    *   Имя - информация о работе программы и действий пользователя.
    *   Предупреждение - показывает информацию об обнаружении и решении проблем, не вызвавших сбоя программы.
    *   Ошибки - показывает информацию об обнаружении и решении неустранимых ошибок, вызвивших завершение работы программы.
    *   Дата - отображает дату возникновения системы события.
    *   Время - показывает время возникновения системы события.
    *   Пользователь - имя пользователя, в процессе работы которого произошло событие.
    *   Категория - название категории, к которой относится событие.
    *   Сообщение - содержание информации о системном событии.
    *   Данные - предоставляет дополнительную информацию по событию.","Область выводазаписейжурналаНазвание области: Вывод системы событий, удовлетворяющей указанным признакам filter. Если filter передан, то отображаются все системы событий. Описания системных событий: Тип Отображается тип Событий визуальных данных: Уведомление Извлечение информации о работе программ и действиях пользователей. Видозначка: Программные сущности: Различный вид, который может принимать различные формы и представлять различные виды данных. Выявленные ошибки, неустранимые для повторения системы событий. Информация об ошибках, приведенных к общему багу в работе программных систем. Ошибки Извлечение информации об ошибках, неприведенных изменениях в общем общем бага в работе программных систем. ДатаИзображается дата возникновения системы событий. Время Отображается время возникновения системы событий. ПользовательОтображается его имя, персонная информация, которая обнаруживается в процессе работы. Категория Образует категорию, к которой относится данное системное событие. СообщениеИзображается сообщение о системном событии. Дополнительная информация подана пользователем.","## Как вывести запись журнала  
   **Местность вывода**    Области вывода содержат таблицы данных системных событий, которые удовлетворяют требованиям фильтров ""Информация-Оборудование"". Эти данные отражают информацию обо всех системных событиях на компьютере или во внешних устройствах. При наведении курсора мыши мы можем увидеть эти поля как значок системы, так и ее содержимое. Дополнительные сведения можно найти в папке настроек Windows XP Home Edition.  

Выберите нужный режим отображения для просмотра информации:  
     - Режим ''Отображение — Система»/«Система»[Ctrl+V]»;  
      - «Инструменты → Параметры → Поиск объекта»;  
         ****Как видите, настройка параметров занимает определенное количество времени, поэтому при необходимости вы можете изменить настройки вручную."
"Тип Флажок Описание Задается признак разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, на два отдельных пакета. Каждый пакет будет содержать общее фото ном ерного знака автотранспорта и свою обзорную фотографию. Подобная возмож ность актуальная для формирования доказательной базы при некоторых видах нарушений. Пример При фиксации нарушения типа ""Остановк а запрещена"" необходим о сделать одно фото ном ерного знака и две обзорные фотографии. При активации данного флаж ка пакет данных о нарушении будет разделен на два пакета с соответствующими обзорными фотографиями. По зафиксированному времени на фотографиях можно будет док азать, что фотографии были сделаны при неподвиж ном состоянии автотранспорта. Возможные значения Включен. Производится разделения пакета данных о нарушении, не нуждающемся в повторной фиксации. Выключен. Разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, не производится.","Флажок ""Разделение пакета данных""

Этот флажок позволяет разделить пакет данных о нарушении, которое не нуждается в повторной фиксации, на два отдельных пакета. Каждый пакет будет содержать общее фото номерного знака автотранспорта и свою обзорную фотографию. Эта функция помогает формировать доказательную базу для некоторых видов нарушений.

Пример:
При фиксации нарушения ""Остановка запрещена"" вам нужно сделать одно фото номерного знака и две обзорные фотографии. Если вы включите этот флажок, пакет данных о нарушении разделится на два пакета с соответствующими обзорными фотографиями. По времени на фотографиях вы сможете доказать, что снимки были сделаны, когда автотранспорт не двигался.

Возможные значения:
- Включен: Система разделяет пакет данных о нарушении, которое не нуждается в повторной фиксации.
- Выключен: Система не разделяет пакет данных о нарушении, которое не нуждается в повторной фиксации.","""Тип Флажок Описание Задается признак разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, на два отдельных пакета. Каждый пакет будет содержать общее фото номерового знака и две обзорные фотографии. Подобная возмож ность актуальная для формирования доказа","При фиксации нарушения необходимо сделать один фото ном ерного знака и две обзорные фотографии. После фиксации, каждый пакет будет содержать общее фото и обзорную фотографию. В случае активации флажка пакет данных о нарушении, он будет разделен на два пакета с обзорными фотографиями. Время, проведенное на фотографиях, можно будет подтвердить, что фотографии были сделаны при неподвижном состоянии автотранспорта. Возможные значения: Включен, Выключен. Разделения пакета данных о нарушении не требуют повторной фиксации и не производятся.","Тип: Флажок
Описание: Разделяет пакет данных о нарушении на два отдельных пакета. Каждый пакет содержит общее фото ном и его обзорную фотографию. Это может быть полезно для формирования доказательной базы при некоторых видах нарушений.

Пример: При фиксации нарушения типа ""Остановка запрещена"" необходимо сделать одно фото ном и две обзорные фотографии. При активации этого флажока пакет данных о нарушении будет разделен на два пакета с соответствующими обзорными фотографиями. Пофиксированные фотографии можно будет доказать, что они сделаны при неподвижном состоянии автотранспорта.

Возможные значения: Включен. Производится разделения пакета данных о нарушении, не нуждающемся в повторной фиксации. Выключен. Разделения пакета данных о нарушении, не нуждающемся в повторной фиксации, не производится.","### Тип: **Флажок**  
### Описание:  
Задает параметр, который разделяет пакет данных о нарушении на два отдельных пакета. Первый пакет содержит общую информацию о номерном знаке автомобиля, а второй — его обзорную фотографию. Это особенно полезно при формировании доказательной базы по некоторым видам нарушений.  

#### Пример:  
При фиксирунии нарушения типа *""Остановка запрещена""* необходимо сделать одно фото номерного знака и две обзорные фотографии. Активируя этот флажок, пакет данных о нарушении будет разделен на два отдельных пакета с соответствующими обзорными фотографиями. С помощью этих фотографий можно определить, что они были сделаны при неподвижном состоянии автомобиля.  

### Возможные значения:  
- **Включен** – выполняется разделение пакета данных о нарушении, не требующего повторной фиксации.  
- **Выключен** – разделение пакета данных о нарушении, не требующего повторной фиксации, не происходит.",,"**Флажок**   

##  Как разделить пакеты данных по нарушению 
    **Настройка параметров флайера**   Нажмите кнопку «Дополнительно» или введите название пункта меню (см. рис). Отобразятся результаты поиска, которые помогут вам установить точное время фиксирования объекта. Например, если вы купили автомобиль без маркировки транспортного средства — это сигнал об остановке движения транспортного средства. Если же у вас есть данные о том, что машина была снята за несколько дней до проведения проверки, эти сведения могут быть внесены повторно. Окончательные выводы будут готовы через 10 минут после появления результатов измерения скорости автомобиля."
"Тип Выпадающий список Описание Задается значение уровня качества поиска и захвата изображ ения номерного знак а в к адре. Данный параметр позволяет выбрать соотношение качество/производитель ность работы системы. Чем ниже качество, тем быстрее происходит обработка, но вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т. п.) повышается, и наоборот. Возможные значения Быстрый рекомендуется выбирать на слабых компьютерах, при обработке данных от нескольких десятков планшетов, в большом диапазоне типоразмеров зон или если номерные знак и в основном чистые, незагрязненные. В этом случае будут обработаны практически все номерные пластины с хорошим качеством изображ ения, пластины с худшим к ачеством изображ ения будут просто отфильтрованы. Стандартный рекомендуется выбирать в боль шинстве случаев. При этом в кадре будет обнаружено и передано для распознавания большинство номерных пластин. Тольк о наиболее загрязненные ном ерные пластины будут отфильтрованы. Качественный рекомендуется выбирать при работе на мощных компьютерах, при небольшом количестве фиксирующих устройств на связи с сервером, в небольшом диапазоне типоразмеров зон, или если требуется распознать номера всех зафиксированных машин. В этом случае алгоритм будет производить поиск даже самых загрязненных номеров. Из-за большой вычислительной нагрузки могут быть пропущены ном ера с хорошим качеством изображ ения.","Выпадающий список ""Уровень качества поиска""

В этом списке вы можете выбрать уровень качества поиска и захвата изображения номерного знака в кадре. Параметр влияет на соотношение качества и скорости работы системы. Чем ниже качество, тем быстрее происходит обработка, но увеличивается вероятность пропуска или неправильного распознавания искаженных номеров (грязных, малоконтрастных и т.п.). И наоборот.

Возможные значения:

Быстрый
Выбирайте этот режим:
- на слабых компьютерах
- при обработке данных от нескольких десятков планшетов
- при большом диапазоне типоразмеров зон
- если номерные знаки в основном чистые, незагрязненные

В этом режиме система обработает почти все номерные пластины с хорошим качеством изображения. Пластины с худшим качеством изображения будут отфильтрованы.

Стандартный
Выбирайте этот режим в большинстве случаев. Система обнаружит и передаст для распознавания большинство номерных пластин. Только самые загрязненные номерные пластины будут отфильтрованы.

Качественный
Выбирайте этот режим:
- на мощных компьютерах
- при небольшом количестве фиксирующих устройств на связи с сервером
- при небольшом диапазоне типоразмеров зон
- если вам нужно распознать номера всех зафиксированных машин

В этом режиме алгоритм будет искать даже самые загрязненные номера. Из-за большой вычислительной нагрузки система может пропустить номера с хорошим качеством изображения.","""Тип Выпадающий список Описание Задается значение уровня качества поиска и захвата изображ ения номерного знак а в к адресу. Данный параметр позволяет выбрать соотношение качество/производитель ность работы системы. Чем ниже качество, тем быстрее процесс обработки, но вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т. п.) повышается","Выбор качественного номерного знака зависит от уровня качества и скорости работы системы. Быстрый вариант лучше для слабых компьютеров, но может быть менее точен. Стоит выбирать стандартный вариант, чтобы обеспечить лучшее распознавание. Если номерные знаки загрязненные, они будут отфильтроваться. Качественный вариант лучше для мощных компьютеров и серверов, но может быть менее точным. Если нужно распознать все номерные пластины, даже если они загрязнены, лучше выбирать стандартный вариант.","Тип: Выпадающий список
Описание: Задает значение уровня качества и захвата изображения номерного знака. Параметр позволяет выбрать соотношение качества/производительности работы системы. Чем ниже качество, тем быстрее происходит обработка, но вероятность пропуска или неправильного распознавания искаженных номеров (грязные, малоконтрастные и т.п.) повышается, и наоборот. 

Быстрый: Рекомендуется выбирать на слабых компьютерах, когда обработка данных от нескольких десятков планшетов, в большом диапазоне типоразмеров зон или если номерные знаки и в основном чистые, незагрязненные. В этом случае обработаны практически все номерные пластины с хорошим качеством изображения, пластины с худшим качеством изображения будут отфильтрованы. Стандартный: Рекомендуется выбирать в больших случаях. В кадре будет обнаружено и передано для распознавания большинство номерных пластин. Только о наиболее загрязненные номерные пластины будут отфильтрованы. Качественный: Рекомендуется выбирать при работе на мощных компьютерах, когда небольшое количество фиксирующих устройств на связи с сервером, в небольшом диапазоне типоразмеров зон или если требуется распознать номера всех зафиксированных машин. В этом случае алгоритм будет производить поиск даже самых загрязненных номеров. Из-за большая вычислительная нагрузка могут быть пропущены номера с хорошим качеством изображения.","### Настройка параметра ""Качество""  

Параметр **""Выпадающий список""** позволяет задать уровень качества поиска и захвата номерных знаков в кадре. Он определяет соотношение между качеством изображения и производительностью работы системы.  

#### Как работает качество  
- **Быстрый** подходит для слабых компьютеров, обработки данных из нескольких планшетов, работы с крупными зонами или чистыми номерными знаками.  
  - Здесь система обрабатывает почти все номерные пластины с хорошим качеством изображения. Номера с плохим качеством автоматически фильтруются.  
- **Стандартный** чаще всего используется.  
  - Система обнаруживает и распознает большинство номерных пластин. Но фильтруются только самые загрязненные.  
- **Качественный** предназначен для мощных ПК, без сервера, в небольших зонах или для распознавания всех зарегистрированных номеров.  
  - Система может обрабатывать даже сложные загрязнения.  

Чем выше качество, тем медленнее обработка, но меньше вероятность ошибок.","Серия изображений, содержащая множество планшетов и записей. Сначала появляется обработка (максимальное количество планшетов), а затем - проверка на наличие пропущенных номеров. Пожалуйста укажите качество производимой работы!","## Как определить уровень качества поиска  

**Как повысить производительность компьютера  `Важно!** Этот параметр поможет вам быстро найти нужный диапазон цветопередачи экрана — например, #100% экран высокого разрешения (высокий коэффициент контрастности). Если вы хотите получить качественное изображение со сверхшироким диапазоном частот, то выбирайте его высокоэффективным способом. Обычно этот показатель соответствует качеству изображения по результатам обработки большого числа элементов из сотен точек, что гарантирует высокую скорость сканирования и хорошую точность отображения информации."
